text,language,label
"""Mayroon na tayong 4 na buwang gulang na daga na hindi diabetic na dating diabetic,"" dagdag niya.",tgl_Latn,ham
"Nagbabala si Dr. Ehud Ur, isang propesor sa medisina sa Dalhousie University sa Halifax, Nova Scotia at tagapangulo ng siyentipiko at pagsusuri na dibisyon ng Canadian Diabetes Association na ang pananaliksik ay nasa mga unang araw pa nito.",tgl_Latn,ham
"Tulad ng iba pang eksperto, nag-aalangan siya kung kayang gamutin ang diabetes, binibigyang pansin niya na walang kinalaman ang mga natuklasang ito sa mga taong mayroon nang Type 1 diabetes.",tgl_Latn,ham
"Noong Lunes, Sara Danius, permanenteng sekretarya ng Nobel Committee para sa Literatura sa Swedish na Academy, ay inanunsiyo sa publiko sa panahon ng programa sa radyo sa Sveriges Radio sa Sweden na ang komite, hindi direktang makontak si Bob Dylan tungkol sa pagkakapanalo ng 2016 Nobel Prize sa Literatura, ay inabandona na ang pagkontak sa kanya.",tgl_Latn,ham
"Sabi ni Danius, ""Ngayon mismo ay wala tayong ginagawa. Nakatawag na ako sa telepono at nakapagpadala ng mga e-mail sa kaniyang pinakamalapit na katulong at nakatanggap ng mga napakamagiliw na sagot. Sa ngayon, talagang sapat na iyon.""",tgl_Latn,ham
"Dati, sinabi ng CEO ng Ring, si Jamie Siminoff, na nagsimula ang kompanya noong ang kaniyang timbre ay hindi naririnig mula sa kaniyang talyer sa kaniyang garahe.",tgl_Latn,ham
"Gumawa siya ng WiFi na timbre para sa pintuan, sabi niya.",tgl_Latn,ham
Sinabi ni Siminoff na tumaas ang kita matapos ang kaniyang paglabas noong 2013 sa isang episode ng Shark Tank kung saan inayawan ng show panel ang pagbibigay ng pondo para sa pagsisimula.,tgl_Latn,ham
"Noong huling bahagi ng 2017, lumabas si Siminoff sa istasyon para sa shopping television channel na QVC.",tgl_Latn,ham
"Naayos na rin ang paghahabla ng Ring sa katunggali na kompanya ng seguridad, ang ADT Corporation.",tgl_Latn,ham
"Bagaman ang isang eksperimental na bakuna ay nagpapakita ng kakayahang bawasan ang dami ng namamatay sa Ebola, hanggang ngayon, wala pa ring mga gamot na malinaw na naipakitang angkop na panggamot sa umiiral na impeksyon.",tgl_Latn,ham
"Ang isang antibody cocktail, ang ZMapp, ay nagpakita ng pag-asa sa larangan noong umpisa, ngunit ipinahiwatig ng mga pormal na pag-aaral na mas kakaunti ang benepisyo nito kaysa sa inaasahan sa pagpigil ng kamatayan.",tgl_Latn,ham
"Sa pagsubok sa PALM, nagsilbing kontrol ang ZMapp, na nangangahulugang ginamit ito ng mga siyentipiko bilang basehang linya at kinumpara ang tatlong iba pang gamot dito.",tgl_Latn,ham
Itinataguyod ng Gymnastics ng USA ang sulat ng Lupon na Pang-Olympics ng Estados Unidos at sumasang-ayon sa lubos na pangangailangan ng pamilyang Olympic na magsulong ng isang matiwasay na kaligiran para sa lahat ng ating manlalaro.,tgl_Latn,ham
"Sumasang-ayon kami sa pahayag ng USOC na ang kapakanan ng ating mga atleta at samahan, at ang kanilang laro, ay maaaring higit na maitaguyod sa pamamagitan ng pagsulong na may makabuluhang pagbabago sa loob ng ating organisasyon, sa halip na pagtanggal ng sertipikasyon.",tgl_Latn,ham
Sinusuportahan ng Gymnastics ng USA ang isang malayang imbestigasyon na maaaring magbigay-liwanag sa kung paanong ang abuso sa proporsiyong buong tapang na inilarawan ng mga nakaligtas kay Larry Nassar ay hindi natuklasan sa loob ng napakatatagal na panahon at tinatanggap ang anumang kinakailangan at akmang mga pagbabago.,tgl_Latn,ham
"Ang Gymnastics ng USA at ang USOC ay may magkaparehong tunguhin â€” ang gawin ang isport na gymnastics, at iba pa, na ligtas hangga't maaari upang masundan ng mga atleta ang kanilang mga pangarap sa isang ligtas, positibo at nabigyang-kapangyarihang kapaligiran.",tgl_Latn,ham
"Sa buong dekada ng 1960, nagtrabaho si Brzezinski para kay John F. Kennedy bilang kaniyang tagapayo at pagkatapos ay sa administrasyon ni Lyndon B. Johnson.",tgl_Latn,ham
"Sa panahon ng seleksyon ng 1976 pinayuhan niya si Carter sa dayuhang polisiya, at naging National Security Advisor (NSA) mula 1977 hanggang 1981, kasunod ni Henry Kissinger.",tgl_Latn,ham
"Bilang NSA, tinulungan niya si Carter sa diplomatikong pag-aasikaso ng mga gawaing pandaigdig, gaya ng Mga Kasunduan sa Kampo David, 1978; ang pagiging normal ng ugnayang US-Tsina noong huling bahagi ng dekada 1970; ang Rebolusyong Iranian, na humantong sa krisis ng pambibihag sa Iran, 1979; at ang pagsalakay ng mga Sobyet sa Afghanistan, 1979.",tgl_Latn,ham
"Ang pelikula, na itinatampok si Ryan Gosling at Emma Stone, ay tumanggap ng mga nominasyon sa lahat ng mahalagang kategorya.",tgl_Latn,ham
