text,language,label
"""Aduna na kami karon 4 ka bulang mga ilaga nga dili dayabetik nga kaniadto dayabetik,"" dugang pa niya.",ceb_Latn,ham
"Si Dr. Ehud Ur, propesor sa medisina sa Dalhousie University sa Halifax, Nova Scotia ug chair sa klinikal ug siyentipiko nga dibisyon sa Canadian Diabetes Association mipahimangno nga ang panukiduki naa pa sa iyang sayo nga mga adlaw.",ceb_Latn,ham
"Sama sa ubang mga eksperto, maduhaduhaon siya kon mahimong maayo ang diyabetes, ingon nga kining mga nakaplagan walay kalabutan sa mga tawo nga adunay Type 1 nga diabetes.",ceb_Latn,ham
"Sa Lunes, si Sara Danius, ang permanente nga sekretarya sa Nobel Committee sa Literatura sa Swedish Academy, nagpahayag sa publiko sa usa ka programa sa radyo nga Sveriges Radio sa Sweden, nga tungod kay wala direktang nakaistorya si Bob Dylan mahitungod sa pagkadaog niya sa 2016 nga Nobel Prize sa Literatura, gihunong na sa committee ang paningkamot niining makigstorya kaniya.",ceb_Latn,ham
"Nagkanayon si Danius, ""Wala tay ginabuhat karon. Nanawag ko ug nagpadala og mga email sa iyang mga pinakasuod nga kabulig ug nakadawat ug mahigalaong mga tubag. Sa karon, igo na kaayo kana.""",ceb_Latn,ham
Ang kaniadto CEO sa kompanyang Ring nga si Jamie Siminoff nag-ingon nga nagsugod ang kompanya sa dili pa madungog ang timbre sa pultahan gikan sa tindahan sa iyang garahe.,ceb_Latn,ham
"Naghimo siya og WIFi nga bagtingan sa purtahan, matod niya.",ceb_Latn,ham
Niingon si Siminoff nga ang halin misaka human sa iyang paggawas sa usa ka episode sa Shark Tank sa 2013 diin ang panel sa pasundayag nagdumili sa pagpundo sa nagasugod nga kumpanya.,ceb_Latn,ham
"Sa ulahing bahin sa 2017, nakita si Siminoff sa usa ka shopping channel sa telebisyon nga QVC.",ceb_Latn,ham
"Gihusay pod ang Ring ang demanda niini sa kakompetensiyang kompanya sa seguridad, ang ADT Corporation.",ceb_Latn,ham
"Samtang makita nga mahimong makapakunhod sa gidaghanon sa mangamatay sa Ebola ang ginaeksperimentohang bakuna, hangtod karon, wala pay tambal ang klarong nagpakita nga angay alang sa pagpaayo sa nagpadayong impeksyon.",ceb_Latn,ham
"Ang usa ka cocktail nga antibody, ang ZMapp, unang nakit-an og potensiyal sa disiplina, apan nagpakita ang pormal nga mga pagtuon nga kini adunay gamay lang nga benepisyo kaysa sa gipangita aron malikayan ang kamatayon.",ceb_Latn,ham
"Sa pagsuway sa PALM, ang ZMapp maoy nagsilbing kontrol, nagpasabot nga ang mga siyentista migamit niini isip basehanan ug gikumpara niini ang tulo ka mga nagkadaiyang pagtambal.",ceb_Latn,ham
Nagsuporta ang USA Gymnastics sa sulat sa United States Olympic Committee ug gidawat ang hingpit nga panginahanglan sa pamilyang Olympic nga iduso ang luwas nga palibot alang sa tanan natong mga atleta.,ceb_Latn,ham
"Uyon kami sa pahayag sa USOC nga ang interes sa among mga atleta ug club, ug ang ilang isport, mahimong mas maalagaran pa og maayo pinaagi sa pagpadayon nga adunay makahuluganong kabag-ohan sulod sa among organisasyon, kaysa sa pagtanggal og sertipikasyon.",ceb_Latn,ham
Suportado sa USA Gymnastics ang usa ka independenteng imbestigasyon nga posibleng maghatag og kamatuoran sa kung giunsa ang pag-abuso sa proporsiyon nga maisugong gibatbat sa mga naluwas kang Larry Nassar nga posibleng magpadayon nga wala himatikdi sa dugay nga panahon ug ginadawat ang bisan unsang kinahanglan ug saktong mga kabag-ohan.,ceb_Latn,ham
"Ang USA Gymnastics ug ang USOC adunay parehas nga katuyoan — mao ang pagpahilwas sa sport sa gymnastics ug uban pa taman sa makaya, aron matuman sa mga atleta ang ilahang mga ambisyon sa luwas, positibo, ug may pagahom nga kahimtangan.",ceb_Latn,ham
"Sa katuigan sa1960, nagtrabaho si Brzezinski alang kang John F. Kennedy ingon iyang magtatambag ug pagkahuman sa administrasyon ni Lyndon B. Johnson.",ceb_Latn,ham
"Kaniadtong panagpili sa 1976 gitambagan niya si Carter bahin sa polisiya labot sa langyaw, unya nagsilbi isip usa ka National Security Advisor (NSA) gikan 1977 hangtod 1981, sunod kang Henry Kissinger.",ceb_Latn,ham
"Isip NSA, gitabangan niya si Carter sa diplomatikong pagdumala sa mga kalihokan sa kalibutan, sama sa Camp David Accords sa tuig 1978; paghimong normal sa relasyon sa US–Tsina sa ulahing bahin sa 1970; sa Rebolusyon sa Iran nga hinungdan sa krisis sa hostage sa tuig 1979; ug pagsulong sa Soviet sa Afghanistan, 1979.",ceb_Latn,ham
"Ang salida, nga gibidahan ni Ryan Gosling ug Emma Stone, kay nakadawat og mga nominasyon sa tanan nga dagkong kategorya.",ceb_Latn,ham
Nakadawat og nominasyon sila Gosling ug Stone para sa Labing Maayo nga Aktor ug Aktres matag usa.,ceb_Latn,ham
"Ang ubang mga nominasyon kay nalakip ang Best Picture, Direktor, Sinematograpiya, Desinyo sa Kostiyum, Pag-edit sa Pelikula, Orihinal nga Score, Desinyo sa Produksiyon, Pag-edit sa Tunog, Pag-mix sa Tunog ug Orihinal nga Screenplay.",ceb_Latn,ham
"Ang duha ka mga kanta gikan sa salida, Audition (The Fools Who Dream) ug City of Stars, nakadawat og nominasyon alang sa pinakamaayong orihinal nga kanta. Ang estudyo sa Lionsgate nakadawat og 26 ka nga mga nominasyon — mas labaw pa sa bisan unsa nga estudyo.",ceb_Latn,ham
"Sa uwahing bahin sa Dominggo, ang Presidente sa Estados Unidos nga si Donald Trump, sa usa ka pamahayag nga gihatod pinaagi sa sekretarya sa prensa, nagpahibalo nga ang mga tropa sa Estados Unidos mobiya na sa Syria.",ceb_Latn,ham
Ang pahibalo gihimo human sa panagsulti ni Trump sa telepono uban sa Presidente sa Turkey nga si Recep Tayyip Erdoğan.,ceb_Latn,ham
"Ang Turkey mopuli pud sa pagbantay sa mga nadakpang manggugubat sa ISIS nga, ang pahayag miingon, ang mga nasod sa Europa mibalibad sa pagpauli.",ceb_Latn,ham
"Wala lang kini nagkumpirma nga ang pipila ka mga dinosaur adunay mga balahibo, usa ka teyorya nga kaylap na, apan naghatag og mga detalyeng dili mahimo sa mga fossil sa kinatibuk-an, sama sa kolor ug tulo-ka-dimesyunal nga paghan-ay.",ceb_Latn,ham
Giingon sa mga siyentista nga ang mga balahibo niining hayop kay chestmut-brown ug sa taas adunay maluspad o kolor nga carotenoid sa ubos sa kiliran.,ceb_Latn,ham
Ang nakit-an naghatag usab og mga pagsabot sa ebolusyon sa mga balhibo sa mga langgam.,ceb_Latn,ham
"Tungod kay walay well-developed nga shaft ang mga balhibo sa dinosaur, nga gitawag og rachis, apan ang mga disenyo sama sa balhibo — mga barb ug barbule — nagbanabana ang mga tigduki-duki nga ang rachis lagmit usa ka uwahing ebolusyonaryong kalamboan aning ubang mga ilhanan.",ceb_Latn,ham
"Ang istraktura sa balhibo nagsugyot nga wala kini gigamit sa paglupad apan alang sa regulasyon o pagpakita sa temperatura. Gisugyot sa mga tigdukiduki nga, bisan kon kini ang ikog sa usa ka batan-on nga dinosaur, ang sampol nga gipakita nagpakita sa mga hamtong nga balahibo ug dili sa usa ka piso.",ceb_Latn,ham
"Misugyot ang mga tigdukiduki nga bisan kon kini ang ikog sa usa ka batan-on nga dinosaur, ang sampol nga gipakita nagpakita sa mga hamtong nga balahibo ug dili sa usa ka piso.",ceb_Latn,ham
"Usa ka sakyanan nga adunaay bomba ang mibuto sa mga headquarter sa pulis sa Gaziantep, Turkey gahapon sa buntag. Nakapatay kini og duha ka mga opisyal sa pulis ug nakasamad og mas daghan pa sa baynte ka mga tawo.",ceb_Latn,ham
Ang opisina sa gobernador miingon nga ang napulog siyam nga naangol kay mga opisyal sa pulis.,ceb_Latn,ham
Ang kapolisan miingon nga ilang gisuspetsohan ang usa ka gituohang militanteng Daesh (ISIL) nga responsable sa pagpangatake.,ceb_Latn,ham
"Ilang nakita nga ang Adlaw nagdagan sama sa mga yanong prinsipyo sa ubang mga bituon: Ang buluhaton sa tanang mga bituon sa sistema kay nahibal-an nga natukmod pinaagi sa ilang kahayag, ilang pagtuyok, ug wala nay lain pa.",ceb_Latn,ham
"Ang kahayag ug pagtuyok ginagamit nga dungan aron mahibal-an ang Rossby nga numero sa usa ka bituon, nga adunay kalabotan sa pag-agos sa plasma.",ceb_Latn,ham
"Kon mas gamay ang numero sa Rossby, mas dili kaayo aktibo ang bituon nga may kalabutan sa mga magnetikong pagbali.",ceb_Latn,ham
"Sa iyang pagbiyahe, nasugamak si Iwasaki og mga problema sa makadaghang higayon.",ceb_Latn,ham
"Gitulis siya sa mga pirata, giatake sa irong buang sa Tibet, nakalingkawas sa kaminyuon sa Nepal ug naaresto sa Indiya.",ceb_Latn,ham
