text,language,label
"""Addaan kami ti 4-a-bulan a babbao a dati ket diabetic ngem saan itan,"" nainayonna.",ilo_Latn,ham
"Impalagip ni Dr. Ehud Ur, propesor ti medisina iti Dalhousie University idiay Halifax, Nova Scotia ken daulo ti klinikal ken sientipiko a dibision ti Canadian Diabetes Association a ti panagsukisok ket adda pay laeng kadagiti damdamo nga aldawna.",ilo_Latn,ham
"Kas iti dadduma nga eksperto, pagduaduaanna no mabalin a maagasan ti diabetes, napaliiwna a dagitoy a duktal ket awan pakainaiganna kadagiti tattao nga addaanen iti Type 1 a diabetes.",ilo_Latn,ham
"Idi Lunes, inwaragawag iti publiko ni Sara Danius, permanente a sekretaria ti Komite iti Nobel para iti Literatura ti Sweden Academy, bayat ti maysa a programa iti Sveriges Radio iti Sweden a saan a direkta a naawagan ti komite ni Bob Dylan maipanggep iti pannangabak daytoy iti 2016 Premio Nobel iti Literatura ti Nobel, ket binaybay-andan ti insayangkatda a maawagan daytoy.",ilo_Latn,ham
"Kinuna ni Danius, “Awan ti ar-aramidenmi ita. Immawagak ken nagpaw-itak iti email iti kaasitgan a kaduana ket nakaawatak iti nasasayaat a sungbat. Ita, umanay daydiayen.”",ilo_Latn,ham
"Iti napalabas, imbaga ti CEO ti Ring, a ni Jamie Siminoff, a nangrugi iti kompania idi saan a mangngeg ti doorbellna idiay garahena.",ilo_Latn,ham
"Nagaramid isuna ti WiFi a doorbell, kinunana.",ilo_Latn,ham
Kinuna ni Siminoff nga iti naglakwanda ket pimmigsa kalpasan ti panagparangna idi 2013 idiay pabuya a Tangke ti Pating no sadinno a dagiti hurado ti pabuya ket saanda pinondoan ti negosio.,ilo_Latn,ham
"Idi arinunos ti 2017, nagparang ni Siminoff iti paglakuan nga istasion ti telebision a QVC.",ilo_Latn,ham
"Nakiareglo ti Ring iti maysa nga asunto ti kalabanna a kompania ti seguridad, ti ADT Corporation.",ilo_Latn,ham
