text,label,language,text_clean,label_encoded
"Its on in engalnd! But telly has decided it won't let me watch it and mia and elliot were kissing! Damn it!
",ham,english,Its on in engalnd! But telly has decided it won't let me watch it and mia and elliot were kissing! Damn it!,0
"No, but you told me you were going, before you got drunk!
",ham,english,"No, but you told me you were going, before you got drunk!",0
"Not yet chikku..wat abt u?
",ham,english,Not yet chikku..wat abt u?,0
"Moji i love you more than words. Have a rich day
",ham,english,Moji i love you more than words. Have a rich day,0
"Ok. How many should i buy.
",ham,english,Ok. How many should i buy.,0
"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.
",ham,english,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",0
"Did you stitch his trouser
",ham,english,Did you stitch his trouser,0
"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!
",smishing,english,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",1
"Smith waste da.i wanna gayle.
",ham,english,Smith waste da.i wanna gayle.,0
"Dunno da next show aft 6 is 850. Toa payoh got 650.
",ham,english,Dunno da next show aft 6 is 850. Toa payoh got 650.,0
"Yeah there's quite a bit left, I'll swing by tomorrow when I get up
",ham,english,"Yeah there's quite a bit left, I'll swing by tomorrow when I get up",0
"Good Morning my Dear Shijutta........... Have a great &amp; successful day.
",ham,english,Good Morning my Dear Shijutta........... Have a great &amp; successful day.,0
"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...
",ham,english,"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...",0
"If You mean the website. Yes.
",ham,english,If You mean the website. Yes.,0
"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.
",ham,english,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",0
"Hey so whats the plan this sat? 
",ham,english,Hey so whats the plan this sat?,0
"Boy you best get yo ass out here quick
",ham,english,Boy you best get yo ass out here quick,0
"will you like to be spoiled? :)
",ham,english,will you like to be spoiled? :),0
"U wake up already? Thanx 4 e tau sar piah it's quite nice.
",ham,english,U wake up already? Thanx 4 e tau sar piah it's quite nice.,0
"Do you still have the grinder?
",ham,english,Do you still have the grinder?,0
"Big brother‘s really scraped the barrel with this shower of social misfits
",ham,english,Big brother‘s really scraped the barrel with this shower of social misfits,0
"I'm in office now da:)where are you?
",ham,english,I'm in office now da:)where are you?,0
"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer... 
",ham,english,"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer...",0
"Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs)
",smishing,english,Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs),1
"You have WON a guaranteed £1000 cash or a £2000 prize.To claim yr prize call our customer service representative on
",smishing,english,You have WON a guaranteed £1000 cash or a £2000 prize.To claim yr prize call our customer service representative on,1
"On the road so cant txt
",ham,english,On the road so cant txt,0
"I feel like a dick because I keep sleeping through your texts and facebook messages. Sup, you in town?
",ham,english,"I feel like a dick because I keep sleeping through your texts and facebook messages. Sup, you in town?",0
"Mystery solved! Just opened my email and he's sent me another batch! Isn't he a sweetie
",ham,english,Mystery solved! Just opened my email and he's sent me another batch! Isn't he a sweetie,0
"Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...
",ham,english,Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...,0
"Princess, i like to make love  &lt;#&gt;  times per night. Hope thats not a problem!
",ham,english,"Princess, i like to make love &lt;#&gt; times per night. Hope thats not a problem!",0
"Enjoy ur life. . Good night
",ham,english,Enjoy ur life. . Good night,0
"Ya that one is slow as poo
",ham,english,Ya that one is slow as poo,0
"Also remember to get dobby's bowl from your car
",ham,english,Also remember to get dobby's bowl from your car,0
"Ok...
",ham,english,Ok...,0
"Sorry sent blank msg again. Yup but trying 2 do some serious studying now.
",ham,english,Sorry sent blank msg again. Yup but trying 2 do some serious studying now.,0
"That's cool he'll be here all night, lemme know when you're around
",ham,english,"That's cool he'll be here all night, lemme know when you're around",0
"Congratulations YOU'VE Won. You're a Winner in our August £1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.
",smishing,english,Congratulations YOU'VE Won. You're a Winner in our August £1000 Prize Draw. Call <PHONE>NOW. Prize Code 2309.,1
"its cool but tyler had to take off so we're gonna buy for him and drop it off at his place later tonight. Our total order is a quarter, you got enough?
",ham,english,"its cool but tyler had to take off so we're gonna buy for him and drop it off at his place later tonight. Our total order is a quarter, you got enough?",0
"I wont get concentration dear you know you are my mind and everything :-)
",ham,english,I wont get concentration dear you know you are my mind and everything :-),0
"I told your number to gautham..
",ham,english,I told your number to gautham..,0
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+
",smishing,english,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",1
"Don't necessarily expect it to be done before you get back though because I'm just now headin out
",ham,english,Don't necessarily expect it to be done before you get back though because I'm just now headin out,0
"What you did in  leave.
",ham,english,What you did in leave.,0
"When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.
",ham,english,When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.,0
"Great. I'm in church now, will holla when i get out
",ham,english,"Great. I'm in church now, will holla when i get out",0
"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea
",ham,english,"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea",0
"Ok., is any problem to u frm him? Wats matter?
",ham,english,"Ok., is any problem to u frm him? Wats matter?",0
"Ryder unsold.now gibbs.
",ham,english,Ryder unsold.now gibbs.,0
"Im good! I have been thinking about you...
",ham,english,Im good! I have been thinking about you...,0
"Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
",smishing,english,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply <PHONE>for details 18+,1
"Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.
",ham,english,Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.,0
"Wa... U so efficient... Gee... Thanx...
",ham,english,Wa... U so efficient... Gee... Thanx...,0
"Ok i wont call or disturb any one. I know all are avoiding me. I am a burden for all
",ham,english,Ok i wont call or disturb any one. I know all are avoiding me. I am a burden for all,0
"How much r ü willing to pay?
",ham,english,How much r ü willing to pay?,0
"Can you talk with me..
",ham,english,Can you talk with me..,0
